input,target
90878+40648,131526
6+9,15
5+8,13
15+709,724
268+566,834
1828+5128,6956
23008+47869,70877
37528+43106,80634
33118+907909,941027
75+38,113
28436+95995,124431
428367+440896,869263
870566+856628,1727194
878+336,1214
86+668,754
63439+51756,115195
9+6,15
7+8,15
13989+373549,387538
6+6,12
393635+854678,1248313
45877+71757,117634
67+7,74
4896+96426,101322
67+96,163
58+49,107
2528+2878,5406
89+5,94
5+5,10
1206+3876,5082
975+709,1684
9+9,18
8485+4085,12570
118238+398456,516694
568+795,1363
16+7,23
8+8,16
29+1768,1797
180337+974019,1154356
902507+392619,1295126
396+689,1085
188+506,694
8+6,14
7+9,16
50479+73588,124067
9618+9436,19054
426265+551105,977370
418+217,635
88+88,176
1588+19955,21543
6615+8397,15012
22446+47218,69664
68+47,115
4375+9937,14312
4065+5966,10031
698+247,945
759+266,1025
937+568,1505
198+397,595
7376+41679,49055
47+26,73
179798+688688,868486
7+9,16
35295+9655,44950
1435+8885,10320
75679+98256,173935
8+5,13
128+545,673
878+576,1454
8+8,16
15+57,72
382825+586736,969561
6606+9376,15982
3348+19188,22536
37+77,114
7+8,15
69697+15579,85276
99126+51347,150473
6+7,13
669296+662789,1332085
274226+579059,853285
8+6,14
88+79,167
7728+1908,9636
47+35,82
79787+81916,161703
809+787,1596
38+45,83
8+7,15
135+398,533
629237+309589,938826
259+449,708
12607+42239,54846
67+76,143
69+67,136
6845+5775,12620
179+515,694
63748+54586,118334
75006+17019,92025
8+68,76
26+47,73
7+7,14
7+6,13
8+7,15
110376+129388,239764
51628+713615,765243
554265+221895,776160
9+6,15
2697+7316,10013
6+5,11
65238+41387,106625
40439+89839,130278
37618+379187,416805
7+7,14
68+59,127
10916+4308,15224
8+9,17
669+188,857
41419+83286,124705
148+639,787
6+5,11
9905+4218,14123
6+5,11
88+87,175
524107+564816,1088923
779+855,1634
8+9,17
47+16,63
80005+30756,110761
866+3536,4402
1957+1807,3764
6+69,75
8+7,15
877+55,932
47+99,146
98+77,175
29+6,35
8505+5066,13571
383677+24105,407782
59+78,137
182615+990629,1173244
57+67,124
743137+291217,1034354
58+68,126
9+7,16
78+47,125
5+6,11
35217+356809,392026
206787+831717,1038504
5+35,40
56+18,74
10139+72157,82296
5+8,13
6+9,15
668+2538,3206
77+27,104
9+9,18
76876+1467,78343
88+36,124
657879+598565,1256444
596+305,901
855+938,1793
35+46,81
96525+23956,120481
59927+937849,997776
18+5,23
9+86,95
9325+5257,14582
5+6,11
85156+69155,154311
267+756,1023
59+39,98
644229+96906,741135
99+37,136
725139+552155,1277294
3315+5417,8732
676265+765865,1442130
8+9,17
710406+541156,1251562
18+86,104
7+9,16
62968+20155,83123
86+88,174
317+67,384
20509+61498,82007
326+4175,4501
7+8,15
1868+2567,4435
46+778,824
906+217,1123
7+9,16
8069+8686,16755
374168+89899,464067
172239+320616,492855
294518+168686,463204
707+999,1706
62298+99115,161413
85645+67997,153642
4625+9966,14591
8+7,15
745056+444715,1189771
76+57,133
138+739,877
5088+2149,7237
289029+330308,619337
3455+7867,11322
357975+279855,637830
146+67,213
6+9,15
36+46,82
7228+903499,910727
657+748,1405
88+97,185
859+8995,9854
717+545,1262
443287+309657,752944
744666+609935,1354601
756+849,1605
49+16,65
8256+1357,9613
57+58,115
719+707,1426
917389+168469,1085858
6+6,12
97+78,175
17+76,93
6+747,753
26+79,105
6+9,15
6768+88,6856
57+85,142
35+35,70
216897+421047,637944
988+569,1557
753266+33237,786503
821505+648909,1470414
165+76185,76350
308+466,774
499265+189149,688414
5+8,13
49+86,135
47+28,75
9+8,17
38+7,45
5+5,10
18118+43746,61864
128+45,173
117+8,125
56+77,133
55217+66745,121962
2128+218,2346
9729+9658,19387
77165+70146,147311
899357+889165,1788522
562896+2878,565774
7536+5405,12941
66316+77979,144295
8+8,16
15+668,683
9+9,18
5+9,14
83757+50379,134136
979+579,1558
5+6,11
7+7,14
851027+726149,1577176
16376+35166,51542
9+5,14
8278+809,9087
78298+22169,100467
586699+346549,933248
6986+4856,11842
339459+228856,568315
879965+846087,1726052
5+8,13
35+45,80
27+7,34
805717+983866,1789583
9+67,76
8008+4397,12405
9896+3347,13243
2286+1605,3891
4227+9409,13636
28+596,624
9+7,16
5159+8329,13488
26885+61539,88424
57+47,104
79+89,168
573995+305615,879610
4087+5889,9976
4358+8115,12473
9+19,28
16+38,54
20758+1105,21863
17+99,116
67+78,145
506188+91908,598096
814495+147667,962162
283265+842458,1125723
9+9,18
5+95,100
81438+53689,135127
36+96,132
296+85,381
4149+1395,5544
2317+4917,7234
77+58,135
29957+56209,86166
646+526,1172
775477+812918,1588395
346+119,465
9+5,14
93089+48878,141967
639426+788167,1427593
399+285,684
28+96,124
50376+31458,81834
85+56,141
58+1848,1906
892667+591849,1484516
6556+7799,14355
9+6,15
1846+3226,5072
17+39,56
7777+3925,11702
302998+228095,531093
45+26,71
90418+37979,128397
6926+9296,16222
257999+136627,394626
5+6,11
29129+79908,109037
17299+80685,97984
8637+7655,16292
62479+31495,93974
30098+81807,111905
6516+2697,9213
697+599,1296
688+876,1564
87+79,166
567+219,786
213866+589028,802894
2795+6115,8910
196+67,263
4909+2779,7688
6+9,15
986+835,1821
53026+14655,67681
938018+184898,1122916
397+377,774
4269+8185,12454
9+7,16
485+949,1434
973578+790718,1764296
335+568,903
49+349,398
8+7,15
9+6,15
3947+2377,6324
343336+395216,738552
5+8,13
7595+57949,65544
4636+9209,13845
80858+62718,143576
500369+915598,1415967
436+479,915
27637+65567,93204
928+936,1864
7+6,13
32278+2678,34956
59+79,138
907+619,1526
347176+545585,892761
6157+93997,100154
455879+716946,1172825
5696+9616,15312
6+7,13
47+47,94
75988+76227,152215
6+6,12
326117+178005,504122
1499+2165,3664
476+226,702
5576+78485,84061
2996+7969,10965
57839+17457,75296
4007+8256,12263
78+749,827
8+7,15
85366+86635,172001
38+48,86
8+6,14
48469+31227,79696
975+498,1473
206+8027,8233
7+7,14
38+15,53
35+58,93
5707+5128,10835
7+8,15
9+8,17
66+7,73
6+8,14
3716+8375,12091
2087+8147,10234
5037+1366,6403
495+166,661
95+75,170
513279+195006,708285
126+739,865
739+67,806
76+787,863
399+288,687
497+828,1325
9+6,15
8577+867,9444
959356+186385,1145741
294568+511819,806387
6+6,12
6+5,11
966+7895,8861
53919+37177,91096
865095+480147,1345242
6+9,15
5+6,11
38398+28866,67264
576125+286859,862984
975586+556659,1532245
83686+45779,129465
4905+8245,13150
7+6,13
47+85,132
92109+75229,167338
337+449,786
9+8,17
57276+91945,149221
9+8,17
5+7,12
138+908,1046
480588+925835,1406423
75+98,173
36469+22515,58984
8649+1685,10334
7836+7696,15532
89+39,128
65+57,122
166559+355905,522464
976+927,1903
3525+1106,4631
49+6,55
775+57,832
39+86,125
79207+69809,149016
436+945,1381
8+5,13
8+7,15
46367+815795,862162
38785+386,39171
627+58,685
438407+460847,899254
66+27,93
8+9,17
639269+495786,1135055
96+86,182
482626+925186,1407812
52055+66476,118531
312207+994996,1307203
33056+17289,50345
26778+22337,49115
8+5,13
338+126,464
5739+6608,12347
69998+88087,158085
8+8,16
6+9,15
86808+34765,121573
267+498,765
9+6,15
8128+9825,17953
7028+7937,14965
5215+1177,6392
868927+686025,1554952
229+206,435
7427+1237,8664
9+7,16
8+8,16
9739+3975,13714
1998+388,2386
309+229,538
7+5,12
95+49,144
165+225,390
998277+950149,1948426
167+818,985
148+586,734
3909+1986,5895
8+9,17
954897+952998,1907895
7299+3438,10737
5+5,10
9665+556,10221
34416+44885,79301
555+695,1250
35575+70276,105851
58+79,137
4955+8809,13764
59+17,76
57+65,122
996299+145046,1141345
3575+4388,7963
506+315,821
7829+3575,11404
521829+307687,829516
5+7,12
9+5,14
188+405,593
53347+48576,101923
224105+988137,1212242
54247+93219,147466
879+27,906
8+5,13
8+5,13
8+8,16
79+99,178
387+177,564
71746+77335,149081
59+67,126
77+77,154
5+8,13
7+8,15
5996+2817,8813
8145+8767,16912
93828+76156,169984
69+98,167
219+976,1195
9+9,18
1727+4619,6346
65705+13299,79004
278465+997336,1275801
946517+909867,1856384
57+85,142
5+9,14
35+697,732
6667+8328,14995
8656+6246,14902
10276+621266,631542
9279+8688,17967
3268+9097,12365
4686+9509,14195
9+8,17
971287+478185,1449472
71895+49056,120951
78795+56548,135343
946+945,1891
8+9,17
49+95,144
7+8,15
6+9,15
7+7,14
49+47,96
5+9,14
79+56,135
77+26,103
12925+76637,89562
395048+102766,497814
8367+6748,15115
9+48,57
8018+8567,16585
44147+96737,140884
852589+1066,853655
9+5,14
344308+91097,435405
111926+692129,804055
177+468,645
214067+650447,864514
78+35,113
71288+63916,135204
117+9475,9592
8+6,14
642565+908775,1551340
8308+6715,15023
54609+15857,70466
8+7,15
806346+615716,1422062
203098+376186,579284
870057+50618,920675
89+28,117
102709+790326,893035
6+5,11
925+918,1843
5+8,13
13659+65196,78855
30926+51147,82073
58+86,144
98+6,104
65+29,94
8+5,13
5+6,11
9+7,16
3248+8766,12014
6+99,105
18+49,67
838+315,1153
58835+73409,132244
75+76,151
6+55,61
456+978,1434
5+5,10
7816+13796,21612
35317+53138,88455
631798+706236,1338034
65278+35436,100714
906+425,1331
8+8,16
3496+2927,6423
16879+39776,56655
335+568,903
29066+789,29855
8+9,17
7738+1805,9543
254318+74276,328594
77269+25705,102974
580465+498938,1079403
508505+165799,674304
7+7,14
89+35,124
87+16,103
335548+864019,1199567
787+818,1605
4799+5139,9938
6245+1125,7370
725+386,1111
682755+670437,1353192
5+6,11
95577+98878,194455
2427+4379,6806
257+475,732
89+46,135
26+36,62
5+7,12
45236+80558,125794
87+28,115
6727+75205,81932
547499+297519,845018
281408+693755,975163
7+5,12
83436+1879,85315
637595+980569,1618164
68+57,125
7+7,14
817+378,1195
426628+991238,1417866
518+969,1487
5+8,13
287927+326488,614415
9475+8737,18212
5+6,11
147+628,775
1476+1955,3431
64718+58909,123627
26+579,605
204566+504487,709053
321925+855449,1177374
895207+284575,1179782
1327+8336,9663
88169+71129,159298
8+7,15
797+856,1653
17+35,52
46+26,72
66+15,81
5+8,13
1085+9076,10161
7+5,12
7+5,12
5+9,14
29+56,85
5+6,11
552897+389119,942016
33425+80139,113564
92718+25667,118385
69+16,85
185+278,463
17+579,596
8+7,15
7389+6467,13856
55+28,83
8+5,13
1128+6699,7827
6+5,11
396+617,1013
48+98,146
57967+78428,136395
4775+3205,7980
5+5,10
6955+2496,9451
87735+47785,135520
889+7,896
7565+7708,15273
6+9,15
762467+719786,1482253
778289+64799,843088
4509+907,5416
97+7,104
165567+503338,668905
114157+208509,322666
8648+799,9447
7+8,15
91718+35787,127505
945637+718346,1663983
965+397,1362
195415+987639,1183054
845+687,1532
646+988,1634
829+9736,10565
896908+835727,1732635
66+67,133
645+426,1071
639+126,765
45+76,121
6039+2428,8467
7+7,14
70019+594166,664185
235+198,433
898479+139155,1037634
369+328,697
6+6,12
498+78,576
58677+34255,92932
907+347,1254
51838+76067,127905
347+325,672
417+7768,8185
248+815,1063
858+709,1567
6+8,14
634596+112385,746981
657726+429549,1087275
55+28,83
3008+8939,11947
8+6,14
696+695,1391
526+915,1441
9+8,17
3338+4475,7813
3936+4368,8304
8+46,54
736+599,1335
72568+366945,439513
5+9,14
5+7,12
98+97,195
489645+652805,1142450
28756+72157,100913
241509+274568,516077
487+569,1056
27+88,115
320328+74275,394603
755+8778,9533
1515+3426,4941
99+97,196
89+95,184
38+75,113
41655+915207,956862
8+8,16
507+9759,10266
304509+189616,494125
3617+326,3943
2148+7647,9795
515839+776746,1292585
16599+26618,43217
9+7,16
7886+1476,9362
4225+4388,8613
817+819,1636
17948+54918,72866
72265+1645,73910
799+458,1257
16+96,112
805+68,873
5+6,11
697498+956418,1653916
36+15,51
6+5,11
38+66,104
147279+601226,748505
707938+349608,1057546
665+795,1460
7679+89977,97656
5+69,74
14677+17959,32636
2438+7575,10013
99+56,155
46658+72936,119594
225+328,553
67438+38005,105443
227+807,1034
7+8,15
9+6,15
9+6,15
5087+4287,9374
77115+99185,176300
9+5,14
55+26,81
871257+521378,1392635
7545+8216,15761
537+288,825
6666+7856,14522
8+6,14
9+5,14
7+7,14
606+2908,3514
668459+504897,1173356
38+88,126
56349+10858,67207
8436+1889,10325
209+87,296
46817+5486,52303
175+495,670
539985+935448,1475433
683159+893576,1576735
6+8,14
625+7375,8000
7+9,16
8649+9769,18418
2288+2778,5066
19+39,58
2858+1965,4823
5+7,12
82157+45445,127602
2965+446,3411
6+18,24
6797+49755,56552
2288+7779,10067
97+95,192
6588+746,7334
94815+813986,908801
83785+1829,85614
7+6,13
19+88,107
90707+56268,146975
9+7,16
1187+2425,3612
27+45,72
9526+45,9571
2655+4617,7272
6+6,12
78869+14056,92925
1709+6308,8017
139+829,968
719+838,1557
27+39,66
70078+94209,164287
8+7,15
53987+40288,94275
16125+84637,100762
54749+35537,90286
209+9707,9916
6+8,14
81188+7158,88346
6209+1757,7966
38+5,43
197+436,633
8+47,55
369+1496,1865
83998+92196,176194
45+96,141
39+7,46
487069+56649,543718
9+8,17
307+4689,4996
6357+1905,8262
133256+411078,544334
5435+1739,7174
835+197,1032
79118+655,79773
70495+611086,681581
7+8,15
6395+9079,15474
9918+5078,14996
31107+91939,123046
45676+97239,142915
25+45,70
54988+22749,77737
50897+20387,71284
53335+15378,68713
599598+465219,1064817
3035+3798,6833
56+68,124
8+56,64
5+7,12
9+5,14
37+98,135
335+425,760
57+86,143
6+26,32
265+155,420
37+58,95
966+119,1085
36+86,122
9637+997,10634
29+57,86
25+87,112
17918+28686,46604
728+559,1287
74968+90338,165306
68+36,104
928+548,1476
14785+53906,68691
5679+7669,13348
468+27,495
1516+4887,6403
31115+50837,81952
446+437,883
840449+566906,1407355
6339+3736,10075
77519+53669,131188
88+8,96
246+79,325
366687+459097,825784
6+6,12
999+669,1668
88+65,153
58+95,153
2187+2095,4282
3165+4336,7501
709+585,1294
6+7,13
1288+6716,8004
3466+7296,10762
38747+30279,69026
8+9,17
99+77,176
148+7549,7697
6329+9676,16005
1606+3249,4855
137689+151187,288876
248+388,636
8+5,13
8+8,16
608+46,654
6+7,13
711838+727428,1439266
15+29,44
625+109,734
752307+837086,1589393
470905+63358,534263
6+65,71
5+7,12
15+26,41
681556+839385,1520941
3318+5525,8843
8+7,15
8+6,14
4956+135,5091
7187+9249,16436
9+7,16
525718+509976,1035694
8909+3096,12005
7+6,13
910258+743266,1653524
95+76,171
450867+403556,854423
6+39,45
685276+17139,702415
6+6,12
95+86,181
16+69,85
233628+934497,1168125
7156+6627,13783
8968+2708,11676
4988+2825,7813
478+468,946
15279+32308,47587
9+7,16
6568+7498,14066
8+5,13
8+9,17
46+58,104
6638+37057,43695
497245+399206,896451
5+8,13
8369+2645,11014
869467+119529,988996
406+278,684
5+5,10
646228+522379,1168607
79+95,174
6+26,32
77+98,175
6+5,11
145+158,303
9+6,15
48+905,953
6+9,15
8+9,17
75967+55558,131525
67+98,165
7+7,14
5+8,13
91848+357976,449824
5058+5736,10794
91568+71648,163216
89806+27146,116952
271789+333218,605007
8+5,13
47+38,85
128717+539918,668635
686337+414118,1100455
7+9,16
55+29,84
48+99,147
65526+89938,155464
8+5,13
24378+72947,97325
55+49,104
97375+46057,143432
6+26,32
2088+6567,8655
661848+438617,1100465
7+49,56
2776+4239,7015
56+95,151
6+8,14
1576+2015,3591
62637+1369,64006
2617+7649,10266
11118+783097,794215
41929+67648,109577
51826+60685,112511
18989+13128,32117
87516+2935,90451
840116+845825,1685941
4085+4876,8961
59+88,147
839+109,948
25+46,71
86+39,125
29617+84467,114084
714626+831438,1546064
892627+566099,1458726
15+87,102
9+8,17
7+5,12
237+407,644
8+6,14
2845+9715,12560
48497+10259,58756
8896+6797,15693
87+25,112
694056+396726,1090782
8447+6838,15285
655+117,772
6+5,11
19+45,64
68278+78815,147093
3065+8539,11604
97289+321529,418818
67627+51535,119162
47445+30967,78412
7+79,86
50978+54515,105493
7+6,13
1677+3185,4862
17026+43768,60794
627+847,1474
8+8,16
66+7,73
346+25,371
238+7417,7655
7258+6869,14127
5+25,30
7+39,46
7+8,15
74475+16398,90873
39+46,85
7+6,13
718928+392316,1111244
48+35,83
98+35,133
5+8,13
3359+6707,10066
41458+45635,87093
5+56,61
47+98,145
8+6,14
548+117,665
255595+895349,1150944
19+18,37
9+95,104
711896+547386,1259282
236846+855715,1092561
6885+298,7183
96+37,133
881278+868668,1749946
20297+39086,59383
4439+4489,8928
6+6,12
9+6,15
425+406,831
810596+551846,1362442
945006+534248,1479254
9+9,18
8+7,15
373549+396279,769828
28+77,105
8+6,14
3976+2406,6382
696+316,1012
35+78,113
820918+660105,1481023
314295+1856,316151
279725+457236,736961
9+7,16
1849+186205,188054
65+66,131
37+67,104
213145+519518,732663
925+265,1190
26247+94519,120766
418+27,445
267716+196427,464143
7+6,13
58+77,135
9528+3668,13196
87888+36199,124087
931358+30589,961947
556+2475,3031
39+38,77
15+26,41
5015+9178,14193
25216+31095,56311
7286+4766,12052
41207+92828,134035
8+8,16
498438+624189,1122627
6906+3626,10532
177569+620569,798138
17+15,32
39+427,466
39045+38305,77350
97+95,192
9+8,17
5+7,12
7+5,12
837+568,1405
156817+820966,977783
4229+7115,11344
228896+857256,1086152
607+639,1246
19+29,48
2488+17175,19663
216+497,713
127+745,872
2197+7058,9255
928+758,1686
51689+74097,125786
802145+629616,1431761
18+58,76
7118+2169,9287
5156+5978,11134
48+75,123
9+6,15
5906+9606,15512
308+308,616
421218+461477,882695
4209+1656,5865
566+776,1342
59606+89318,148924
255029+727519,982548
807278+910337,1717615
9639+5336,14975
550449+817765,1368214
8687+5127,13814
2898+2867,5765
4917+1118,6035
617985+178909,796894
337867+137158,475025
538+8448,8986
630607+2587,633194
529639+863967,1393606
9+8,17
68+56,124
31286+19648,50934
31106+60927,92033
9+9,18
9+8,17
6+8,14
334387+364046,698433
6+5,11
179119+244215,423334
8+7,15
78+5,83
1365+6578,7943
6+27,33
15579+998029,1013608
39087+8825,47912
37+5,42
126+446,572
5846+7765,13611
42348+61996,104344
766+766,1532
91967+63957,155924
205+848,1053
98568+1257,99825
3136+5527,8663
505+535,1040
3819+6497,10316
19+86,105
969+655,1624
76+706,782
178+295,473
399+48,447
9+5,14
6087+8056,14143
716445+556185,1272630
68+479,547
9105+3007,12112
65+37,102
55+86,141
5+7,12
5+5,10
595+647,1242
971256+296716,1267972
97749+57316,155065
587+335,922
703035+763715,1466750
886+549,1435
812358+679836,1492194
4626+4915,9541
18+35,53
8+6,14
875+548,1423
9+5,14
268+866,1134
74517+6635,81152
296+488,784
61038+13109,74147
9+7,16
15+49,64
69+68,137
6+7,13
3546+9406,12952
6+9,15
432519+225728,658247
8+8,16
415+206,621
90737+71008,161745
88227+11456,99683
8478+4577,13055
7+7,14
971487+26329,997816
398+655,1053
65+16,81
829+458,1287
648+439,1087
9+9,18
167957+410729,578686
4986+2479,7465
75+37,112
79+405,484
427+5485,5912
142369+914306,1056675
6667+1446,8113
96597+23426,120023
4419+4976,9395
61286+75858,137144
7667+7088,14755
8+5,13
39+97,136
98947+6266,105213
870105+415918,1286023
509+198,707
382879+232445,615324
931105+291818,1222923
76+5,81
1468+72388,73856
919+628,1547
232885+377446,610331
754665+176629,931294
7+8,15
9+8,17
9+7,16
9+8,17
7+6,13
258+8837,9095
819+228,1047
729+447,1176
6795+2988,9783
259959+996107,1256066
6+6,12
5+8,13
331268+610947,942215
5+5,10
257+1769,2026
39+39,78
438+328,766
1909+1306,3215
65+97,162
28735+39787,68522
827+179,1006
9128+8415,17543
8+6,14
9+9,18
445+656,1101
6+7,13
9+9,18
89+49,138
8199+7405,15604
7+8,15
26+387,413
371997+51695,423692
872409+107835,980244
743007+38968,781975
706625+668219,1374844
5535+5609,11144
96+5,101
98+9,107
6+5,11
5+6,11
556+9347,9903
79+18,97
483755+374585,858340
456+889,1345
5+7,12
4139+2838,6977
159+206,365
18+8,26
4965+4107,9072
709+668,1377
3625+6806,10431
850957+493055,1344012
601869+487698,1089567
426739+204419,631158
59+97,156
4545+4909,9454
7+9,16
277077+70577,347654
609149+985176,1594325
47+77,124
26+96,122
102875+950836,1053711
7+7,14
7+9,16
351185+718139,1069324
57+69,126
8+7,15
95+57,152
748+907,1655
47+25,72
93585+89535,183120
2619+1395,4014
68189+9789,77978
43948+35357,79305
18+37,55
1588+8157,9745
376398+283699,660097
445516+166829,612345
27028+16486,43514
206028+128865,334893
6837+4156,10993
919+19,938
676477+229818,906295
95+59,154
572898+413478,986376
885+989,1874
6527+2037,8564
9959+1547,11506
45+77,122
4496+1346,5842
85+86,171
5+89,94
70536+49675,120211
41176+67418,108594
57+15,72
528546+781505,1310051
5385+39,5424
39+38,77
728+746,1474
86+35,121
8+5,13
3209+6499,9708
5789+2436,8225
698+588,1286
3147+6755,9902
28+75,103
625+777,1402
4488+36086,40574
667+767,1434
4737+5045,9782
9288+3196,12484
98007+61556,159563
83585+32865,116450
255636+830007,1085643
67025+44039,111064
416626+411185,827811
89218+963945,1053163
48+479,527
95+77,172
1367+8478,9845
369+79,448
817398+63757,881155
4529+1185,5714
96+38,134
6+8,14
93078+46459,139537
95+97,192
3875+8757,12632
778816+161627,940443
6+9,15
371065+728726,1099791
604169+448598,1052767
249+836,1085
94777+35229,130006
56228+71045,127273
187516+97926,285442
7+9,16
37+45,82
458+969,1427
319+929,1248
6+7,13
17+29,46
59999+49738,109737
35+16,51
27056+10286,37342
5488+1388,6876
7548+8588,16136
9+6,15
67+86,153
1868+5207,7075
638+987,1625
28+7,35
88+37,125
9+7,16
485+97,582
765+47,812
75+979,1054
8106+5098,13204
216106+705186,921292
56+529,585
6607+13829,20436
270497+386205,656702
517+579,1096
71115+21259,92374
3575+13436,17011
64246+295637,359883
27+46,73
178+597,775
727+99,826
9366+5439,14805
419+839,1258
406+188,594
279556+969058,1248614
26755+512547,539302
28+9,37
9969+6738,16707
577+649,1226
6+9,15
8+8,16
909+288,1197
87+39,126
50146+25766,75912
28+35,63
17+27,44
16+38,54
9+77,86
77+85,162
767318+625266,1392584
967+818,1785
38+929,967
57+87,144
9+9,18
2735+346,3081
6265+2447,8712
4628+2685,7313
8+5,13
25+528,553
70769+60468,131237
785+579,1364
512687+612059,1124746
389769+74017,463786
958+4657,5615
842457+607545,1450002
150865+321819,472684
66+48,114
388+979,1367
5+7,12
915+686,1601
466025+416137,882162
98837+5977,104814
28+47,75
62445+6309,68754
4796+5137,9933
35+17,52
79697+58679,138376
55575+27737,83312
46096+17858,63954
6+9,15
577+707,1284
29+99,128
609+488,1097
682698+116336,799034
9+7,16
86+68,154
946+558,1504
888635+677477,1566112
46+8,54
21697+66638,88335
329985+199609,529594
299+716,1015
685+839,1524
38+27,65
2416+397,2813
9738+2786,12524
523715+6879,530594
4815+9808,14623
4608+5685,10293
112498+125658,238156
36+48,84
7+5,12
4548+7576,12124
490227+840359,1330586
42947+77427,120374
946436+39426,985862
58865+79257,138122
858566+728729,1587295
1538+4335,5873
17+39,56
908+838,1746
61586+148887,210473
5+8,13
34239+37206,71445
41317+28409,69726
96+96,192
8058+1375,9433
8+5,13
8936+9745,18681
